date,brand,search_interest,year,month,month_name,quarter,interest_level,dataset
2019-01-01,Gucci,66,2019,1,Jan,Q1,High,Google Trends
2019-02-01,Gucci,74,2019,2,Feb,Q1,High,Google Trends
2019-03-01,Gucci,65,2019,3,Mar,Q1,High,Google Trends
2019-04-01,Gucci,57,2019,4,Apr,Q2,High,Google Trends
2019-05-01,Gucci,60,2019,5,May,Q2,High,Google Trends
2019-06-01,Gucci,59,2019,6,Jun,Q2,High,Google Trends
2019-07-01,Gucci,57,2019,7,Jul,Q3,High,Google Trends
2019-08-01,Gucci,58,2019,8,Aug,Q3,High,Google Trends
2019-09-01,Gucci,56,2019,9,Sep,Q3,High,Google Trends
2019-10-01,Gucci,58,2019,10,Oct,Q4,High,Google Trends
2019-11-01,Gucci,61,2019,11,Nov,Q4,High,Google Trends
2019-12-01,Gucci,75,2019,12,Dec,Q4,Very High,Google Trends
2020-01-01,Gucci,59,2020,1,Jan,Q1,High,Google Trends
2020-02-01,Gucci,56,2020,2,Feb,Q1,High,Google Trends
2020-03-01,Gucci,44,2020,3,Mar,Q1,Moderate,Google Trends
2020-04-01,Gucci,44,2020,4,Apr,Q2,Moderate,Google Trends
2020-05-01,Gucci,50,2020,5,May,Q2,High,Google Trends
2020-06-01,Gucci,53,2020,6,Jun,Q2,High,Google Trends
2020-07-01,Gucci,55,2020,7,Jul,Q3,High,Google Trends
2020-08-01,Gucci,53,2020,8,Aug,Q3,High,Google Trends
2020-09-01,Gucci,54,2020,9,Sep,Q3,High,Google Trends
2020-10-01,Gucci,53,2020,10,Oct,Q4,High,Google Trends
2020-11-01,Gucci,64,2020,11,Nov,Q4,High,Google Trends
2020-12-01,Gucci,66,2020,12,Dec,Q4,High,Google Trends
2021-01-01,Gucci,55,2021,1,Jan,Q1,High,Google Trends
2021-02-01,Gucci,50,2021,2,Feb,Q1,High,Google Trends
2021-03-01,Gucci,53,2021,3,Mar,Q1,High,Google Trends
2021-04-01,Gucci,52,2021,4,Apr,Q2,High,Google Trends
2021-05-01,Gucci,47,2021,5,May,Q2,Moderate,Google Trends
2021-06-01,Gucci,49,2021,6,Jun,Q2,Moderate,Google Trends
2021-07-01,Gucci,49,2021,7,Jul,Q3,Moderate,Google Trends
2021-08-01,Gucci,50,2021,8,Aug,Q3,High,Google Trends
2021-09-01,Gucci,49,2021,9,Sep,Q3,Moderate,Google Trends
2021-10-01,Gucci,52,2021,10,Oct,Q4,High,Google Trends
2021-11-01,Gucci,93,2021,11,Nov,Q4,Very High,Google Trends
2021-12-01,Gucci,100,2021,12,Dec,Q4,Very High,Google Trends
2022-01-01,Gucci,69,2022,1,Jan,Q1,High,Google Trends
2022-02-01,Gucci,70,2022,2,Feb,Q1,High,Google Trends
2022-03-01,Gucci,58,2022,3,Mar,Q1,High,Google Trends
2022-04-01,Gucci,55,2022,4,Apr,Q2,High,Google Trends
2022-05-01,Gucci,54,2022,5,May,Q2,High,Google Trends
2022-06-01,Gucci,54,2022,6,Jun,Q2,High,Google Trends
2022-07-01,Gucci,59,2022,7,Jul,Q3,High,Google Trends
2022-08-01,Gucci,52,2022,8,Aug,Q3,High,Google Trends
2022-09-01,Gucci,46,2022,9,Sep,Q3,Moderate,Google Trends
2022-10-01,Gucci,49,2022,10,Oct,Q4,Moderate,Google Trends
2022-11-01,Gucci,46,2022,11,Nov,Q4,Moderate,Google Trends
2022-12-01,Gucci,57,2022,12,Dec,Q4,High,Google Trends
2023-01-01,Gucci,46,2023,1,Jan,Q1,Moderate,Google Trends
2023-02-01,Gucci,46,2023,2,Feb,Q1,Moderate,Google Trends
2023-03-01,Gucci,40,2023,3,Mar,Q1,Moderate,Google Trends
2023-04-01,Gucci,43,2023,4,Apr,Q2,Moderate,Google Trends
2023-05-01,Gucci,42,2023,5,May,Q2,Moderate,Google Trends
2023-06-01,Gucci,44,2023,6,Jun,Q2,Moderate,Google Trends
2023-07-01,Gucci,42,2023,7,Jul,Q3,Moderate,Google Trends
2023-08-01,Gucci,38,2023,8,Aug,Q3,Moderate,Google Trends
2023-09-01,Gucci,38,2023,9,Sep,Q3,Moderate,Google Trends
2023-10-01,Gucci,39,2023,10,Oct,Q4,Moderate,Google Trends
2023-11-01,Gucci,43,2023,11,Nov,Q4,Moderate,Google Trends
2023-12-01,Gucci,48,2023,12,Dec,Q4,Moderate,Google Trends
2024-01-01,Gucci,40,2024,1,Jan,Q1,Moderate,Google Trends
2024-02-01,Gucci,38,2024,2,Feb,Q1,Moderate,Google Trends
2024-03-01,Gucci,38,2024,3,Mar,Q1,Moderate,Google Trends
2024-04-01,Gucci,38,2024,4,Apr,Q2,Moderate,Google Trends
2024-05-01,Gucci,39,2024,5,May,Q2,Moderate,Google Trends
2024-06-01,Gucci,39,2024,6,Jun,Q2,Moderate,Google Trends
2024-07-01,Gucci,36,2024,7,Jul,Q3,Moderate,Google Trends
2024-08-01,Gucci,37,2024,8,Aug,Q3,Moderate,Google Trends
2024-09-01,Gucci,37,2024,9,Sep,Q3,Moderate,Google Trends
2024-10-01,Gucci,37,2024,10,Oct,Q4,Moderate,Google Trends
2024-11-01,Gucci,39,2024,11,Nov,Q4,Moderate,Google Trends
2024-12-01,Gucci,46,2024,12,Dec,Q4,Moderate,Google Trends
2019-01-01,Louis Vuitton,33,2019,1,Jan,Q1,Moderate,Google Trends
2019-02-01,Louis Vuitton,33,2019,2,Feb,Q1,Moderate,Google Trends
2019-03-01,Louis Vuitton,32,2019,3,Mar,Q1,Moderate,Google Trends
2019-04-01,Louis Vuitton,30,2019,4,Apr,Q2,Moderate,Google Trends
2019-05-01,Louis Vuitton,33,2019,5,May,Q2,Moderate,Google Trends
2019-06-01,Louis Vuitton,33,2019,6,Jun,Q2,Moderate,Google Trends
2019-07-01,Louis Vuitton,34,2019,7,Jul,Q3,Moderate,Google Trends
2019-08-01,Louis Vuitton,34,2019,8,Aug,Q3,Moderate,Google Trends
2019-09-01,Louis Vuitton,34,2019,9,Sep,Q3,Moderate,Google Trends
2019-10-01,Louis Vuitton,36,2019,10,Oct,Q4,Moderate,Google Trends
2019-11-01,Louis Vuitton,38,2019,11,Nov,Q4,Moderate,Google Trends
2019-12-01,Louis Vuitton,49,2019,12,Dec,Q4,Moderate,Google Trends
2020-01-01,Louis Vuitton,37,2020,1,Jan,Q1,Moderate,Google Trends
2020-02-01,Louis Vuitton,38,2020,2,Feb,Q1,Moderate,Google Trends
2020-03-01,Louis Vuitton,26,2020,3,Mar,Q1,Moderate,Google Trends
2020-04-01,Louis Vuitton,27,2020,4,Apr,Q2,Moderate,Google Trends
2020-05-01,Louis Vuitton,34,2020,5,May,Q2,Moderate,Google Trends
2020-06-01,Louis Vuitton,34,2020,6,Jun,Q2,Moderate,Google Trends
2020-07-01,Louis Vuitton,37,2020,7,Jul,Q3,Moderate,Google Trends
2020-08-01,Louis Vuitton,35,2020,8,Aug,Q3,Moderate,Google Trends
2020-09-01,Louis Vuitton,35,2020,9,Sep,Q3,Moderate,Google Trends
2020-10-01,Louis Vuitton,35,2020,10,Oct,Q4,Moderate,Google Trends
2020-11-01,Louis Vuitton,36,2020,11,Nov,Q4,Moderate,Google Trends
2020-12-01,Louis Vuitton,42,2020,12,Dec,Q4,Moderate,Google Trends
2021-01-01,Louis Vuitton,36,2021,1,Jan,Q1,Moderate,Google Trends
2021-02-01,Louis Vuitton,33,2021,2,Feb,Q1,Moderate,Google Trends
2021-03-01,Louis Vuitton,32,2021,3,Mar,Q1,Moderate,Google Trends
2021-04-01,Louis Vuitton,33,2021,4,Apr,Q2,Moderate,Google Trends
2021-05-01,Louis Vuitton,35,2021,5,May,Q2,Moderate,Google Trends
2021-06-01,Louis Vuitton,33,2021,6,Jun,Q2,Moderate,Google Trends
2021-07-01,Louis Vuitton,34,2021,7,Jul,Q3,Moderate,Google Trends
2021-08-01,Louis Vuitton,33,2021,8,Aug,Q3,Moderate,Google Trends
2021-09-01,Louis Vuitton,34,2021,9,Sep,Q3,Moderate,Google Trends
2021-10-01,Louis Vuitton,37,2021,10,Oct,Q4,Moderate,Google Trends
2021-11-01,Louis Vuitton,40,2021,11,Nov,Q4,Moderate,Google Trends
2021-12-01,Louis Vuitton,48,2021,12,Dec,Q4,Moderate,Google Trends
2022-01-01,Louis Vuitton,38,2022,1,Jan,Q1,Moderate,Google Trends
2022-02-01,Louis Vuitton,35,2022,2,Feb,Q1,Moderate,Google Trends
2022-03-01,Louis Vuitton,33,2022,3,Mar,Q1,Moderate,Google Trends
2022-04-01,Louis Vuitton,33,2022,4,Apr,Q2,Moderate,Google Trends
2022-05-01,Louis Vuitton,33,2022,5,May,Q2,Moderate,Google Trends
2022-06-01,Louis Vuitton,33,2022,6,Jun,Q2,Moderate,Google Trends
2022-07-01,Louis Vuitton,34,2022,7,Jul,Q3,Moderate,Google Trends
2022-08-01,Louis Vuitton,33,2022,8,Aug,Q3,Moderate,Google Trends
2022-09-01,Louis Vuitton,31,2022,9,Sep,Q3,Moderate,Google Trends
2022-10-01,Louis Vuitton,30,2022,10,Oct,Q4,Moderate,Google Trends
2022-11-01,Louis Vuitton,32,2022,11,Nov,Q4,Moderate,Google Trends
2022-12-01,Louis Vuitton,40,2022,12,Dec,Q4,Moderate,Google Trends
2023-01-01,Louis Vuitton,34,2023,1,Jan,Q1,Moderate,Google Trends
2023-02-01,Louis Vuitton,31,2023,2,Feb,Q1,Moderate,Google Trends
2023-03-01,Louis Vuitton,29,2023,3,Mar,Q1,Moderate,Google Trends
2023-04-01,Louis Vuitton,30,2023,4,Apr,Q2,Moderate,Google Trends
2023-05-01,Louis Vuitton,30,2023,5,May,Q2,Moderate,Google Trends
2023-06-01,Louis Vuitton,31,2023,6,Jun,Q2,Moderate,Google Trends
2023-07-01,Louis Vuitton,30,2023,7,Jul,Q3,Moderate,Google Trends
2023-08-01,Louis Vuitton,30,2023,8,Aug,Q3,Moderate,Google Trends
2023-09-01,Louis Vuitton,28,2023,9,Sep,Q3,Moderate,Google Trends
2023-10-01,Louis Vuitton,28,2023,10,Oct,Q4,Moderate,Google Trends
2023-11-01,Louis Vuitton,31,2023,11,Nov,Q4,Moderate,Google Trends
2023-12-01,Louis Vuitton,36,2023,12,Dec,Q4,Moderate,Google Trends
2024-01-01,Louis Vuitton,32,2024,1,Jan,Q1,Moderate,Google Trends
2024-02-01,Louis Vuitton,31,2024,2,Feb,Q1,Moderate,Google Trends
2024-03-01,Louis Vuitton,30,2024,3,Mar,Q1,Moderate,Google Trends
2024-04-01,Louis Vuitton,29,2024,4,Apr,Q2,Moderate,Google Trends
2024-05-01,Louis Vuitton,30,2024,5,May,Q2,Moderate,Google Trends
2024-06-01,Louis Vuitton,30,2024,6,Jun,Q2,Moderate,Google Trends
2024-07-01,Louis Vuitton,30,2024,7,Jul,Q3,Moderate,Google Trends
2024-08-01,Louis Vuitton,31,2024,8,Aug,Q3,Moderate,Google Trends
2024-09-01,Louis Vuitton,32,2024,9,Sep,Q3,Moderate,Google Trends
2024-10-01,Louis Vuitton,30,2024,10,Oct,Q4,Moderate,Google Trends
2024-11-01,Louis Vuitton,32,2024,11,Nov,Q4,Moderate,Google Trends
2024-12-01,Louis Vuitton,43,2024,12,Dec,Q4,Moderate,Google Trends
2019-01-01,Prada,14,2019,1,Jan,Q1,Low,Google Trends
2019-02-01,Prada,16,2019,2,Feb,Q1,Low,Google Trends
2019-03-01,Prada,15,2019,3,Mar,Q1,Low,Google Trends
2019-04-01,Prada,14,2019,4,Apr,Q2,Low,Google Trends
2019-05-01,Prada,15,2019,5,May,Q2,Low,Google Trends
2019-06-01,Prada,14,2019,6,Jun,Q2,Low,Google Trends
2019-07-01,Prada,14,2019,7,Jul,Q3,Low,Google Trends
2019-08-01,Prada,14,2019,8,Aug,Q3,Low,Google Trends
2019-09-01,Prada,15,2019,9,Sep,Q3,Low,Google Trends
2019-10-01,Prada,14,2019,10,Oct,Q4,Low,Google Trends
2019-11-01,Prada,16,2019,11,Nov,Q4,Low,Google Trends
2019-12-01,Prada,18,2019,12,Dec,Q4,Low,Google Trends
2020-01-01,Prada,15,2020,1,Jan,Q1,Low,Google Trends
2020-02-01,Prada,15,2020,2,Feb,Q1,Low,Google Trends
2020-03-01,Prada,12,2020,3,Mar,Q1,Low,Google Trends
2020-04-01,Prada,12,2020,4,Apr,Q2,Low,Google Trends
2020-05-01,Prada,14,2020,5,May,Q2,Low,Google Trends
2020-06-01,Prada,14,2020,6,Jun,Q2,Low,Google Trends
2020-07-01,Prada,17,2020,7,Jul,Q3,Low,Google Trends
2020-08-01,Prada,17,2020,8,Aug,Q3,Low,Google Trends
2020-09-01,Prada,18,2020,9,Sep,Q3,Low,Google Trends
2020-10-01,Prada,18,2020,10,Oct,Q4,Low,Google Trends
2020-11-01,Prada,17,2020,11,Nov,Q4,Low,Google Trends
2020-12-01,Prada,19,2020,12,Dec,Q4,Low,Google Trends
2021-01-01,Prada,22,2021,1,Jan,Q1,Low,Google Trends
2021-02-01,Prada,22,2021,2,Feb,Q1,Low,Google Trends
2021-03-01,Prada,17,2021,3,Mar,Q1,Low,Google Trends
2021-04-01,Prada,18,2021,4,Apr,Q2,Low,Google Trends
2021-05-01,Prada,18,2021,5,May,Q2,Low,Google Trends
2021-06-01,Prada,18,2021,6,Jun,Q2,Low,Google Trends
2021-07-01,Prada,18,2021,7,Jul,Q3,Low,Google Trends
2021-08-01,Prada,19,2021,8,Aug,Q3,Low,Google Trends
2021-09-01,Prada,19,2021,9,Sep,Q3,Low,Google Trends
2021-10-01,Prada,21,2021,10,Oct,Q4,Low,Google Trends
2021-11-01,Prada,21,2021,11,Nov,Q4,Low,Google Trends
2021-12-01,Prada,24,2021,12,Dec,Q4,Low,Google Trends
2022-01-01,Prada,24,2022,1,Jan,Q1,Low,Google Trends
2022-02-01,Prada,22,2022,2,Feb,Q1,Low,Google Trends
2022-03-01,Prada,22,2022,3,Mar,Q1,Low,Google Trends
2022-04-01,Prada,23,2022,4,Apr,Q2,Low,Google Trends
2022-05-01,Prada,26,2022,5,May,Q2,Moderate,Google Trends
2022-06-01,Prada,23,2022,6,Jun,Q2,Low,Google Trends
2022-07-01,Prada,23,2022,7,Jul,Q3,Low,Google Trends
2022-08-01,Prada,23,2022,8,Aug,Q3,Low,Google Trends
2022-09-01,Prada,24,2022,9,Sep,Q3,Low,Google Trends
2022-10-01,Prada,22,2022,10,Oct,Q4,Low,Google Trends
2022-11-01,Prada,22,2022,11,Nov,Q4,Low,Google Trends
2022-12-01,Prada,27,2022,12,Dec,Q4,Moderate,Google Trends
2023-01-01,Prada,24,2023,1,Jan,Q1,Low,Google Trends
2023-02-01,Prada,23,2023,2,Feb,Q1,Low,Google Trends
2023-03-01,Prada,22,2023,3,Mar,Q1,Low,Google Trends
2023-04-01,Prada,22,2023,4,Apr,Q2,Low,Google Trends
2023-05-01,Prada,25,2023,5,May,Q2,Moderate,Google Trends
2023-06-01,Prada,25,2023,6,Jun,Q2,Moderate,Google Trends
2023-07-01,Prada,25,2023,7,Jul,Q3,Moderate,Google Trends
2023-08-01,Prada,23,2023,8,Aug,Q3,Low,Google Trends
2023-09-01,Prada,23,2023,9,Sep,Q3,Low,Google Trends
2023-10-01,Prada,23,2023,10,Oct,Q4,Low,Google Trends
2023-11-01,Prada,25,2023,11,Nov,Q4,Moderate,Google Trends
2023-12-01,Prada,29,2023,12,Dec,Q4,Moderate,Google Trends
2024-01-01,Prada,25,2024,1,Jan,Q1,Moderate,Google Trends
2024-02-01,Prada,26,2024,2,Feb,Q1,Moderate,Google Trends
2024-03-01,Prada,25,2024,3,Mar,Q1,Moderate,Google Trends
2024-04-01,Prada,24,2024,4,Apr,Q2,Low,Google Trends
2024-05-01,Prada,25,2024,5,May,Q2,Moderate,Google Trends
2024-06-01,Prada,26,2024,6,Jun,Q2,Moderate,Google Trends
2024-07-01,Prada,28,2024,7,Jul,Q3,Moderate,Google Trends
2024-08-01,Prada,25,2024,8,Aug,Q3,Moderate,Google Trends
2024-09-01,Prada,26,2024,9,Sep,Q3,Moderate,Google Trends
2024-10-01,Prada,27,2024,10,Oct,Q4,Moderate,Google Trends
2024-11-01,Prada,27,2024,11,Nov,Q4,Moderate,Google Trends
2024-12-01,Prada,32,2024,12,Dec,Q4,Moderate,Google Trends
2019-01-01,Chanel,40,2019,1,Jan,Q1,Moderate,Google Trends
2019-02-01,Chanel,45,2019,2,Feb,Q1,Moderate,Google Trends
2019-03-01,Chanel,44,2019,3,Mar,Q1,Moderate,Google Trends
2019-04-01,Chanel,38,2019,4,Apr,Q2,Moderate,Google Trends
2019-05-01,Chanel,38,2019,5,May,Q2,Moderate,Google Trends
2019-06-01,Chanel,39,2019,6,Jun,Q2,Moderate,Google Trends
2019-07-01,Chanel,39,2019,7,Jul,Q3,Moderate,Google Trends
2019-08-01,Chanel,38,2019,8,Aug,Q3,Moderate,Google Trends
2019-09-01,Chanel,42,2019,9,Sep,Q3,Moderate,Google Trends
2019-10-01,Chanel,39,2019,10,Oct,Q4,Moderate,Google Trends
2019-11-01,Chanel,45,2019,11,Nov,Q4,Moderate,Google Trends
2019-12-01,Chanel,55,2019,12,Dec,Q4,High,Google Trends
2020-01-01,Chanel,41,2020,1,Jan,Q1,Moderate,Google Trends
2020-02-01,Chanel,41,2020,2,Feb,Q1,Moderate,Google Trends
2020-03-01,Chanel,34,2020,3,Mar,Q1,Moderate,Google Trends
2020-04-01,Chanel,35,2020,4,Apr,Q2,Moderate,Google Trends
2020-05-01,Chanel,40,2020,5,May,Q2,Moderate,Google Trends
2020-06-01,Chanel,40,2020,6,Jun,Q2,Moderate,Google Trends
2020-07-01,Chanel,40,2020,7,Jul,Q3,Moderate,Google Trends
2020-08-01,Chanel,42,2020,8,Aug,Q3,Moderate,Google Trends
2020-09-01,Chanel,39,2020,9,Sep,Q3,Moderate,Google Trends
2020-10-01,Chanel,41,2020,10,Oct,Q4,Moderate,Google Trends
2020-11-01,Chanel,46,2020,11,Nov,Q4,Moderate,Google Trends
2020-12-01,Chanel,53,2020,12,Dec,Q4,High,Google Trends
2021-01-01,Chanel,41,2021,1,Jan,Q1,Moderate,Google Trends
2021-02-01,Chanel,41,2021,2,Feb,Q1,Moderate,Google Trends
2021-03-01,Chanel,41,2021,3,Mar,Q1,Moderate,Google Trends
2021-04-01,Chanel,39,2021,4,Apr,Q2,Moderate,Google Trends
2021-05-01,Chanel,40,2021,5,May,Q2,Moderate,Google Trends
2021-06-01,Chanel,38,2021,6,Jun,Q2,Moderate,Google Trends
2021-07-01,Chanel,39,2021,7,Jul,Q3,Moderate,Google Trends
2021-08-01,Chanel,38,2021,8,Aug,Q3,Moderate,Google Trends
2021-09-01,Chanel,38,2021,9,Sep,Q3,Moderate,Google Trends
2021-10-01,Chanel,40,2021,10,Oct,Q4,Moderate,Google Trends
2021-11-01,Chanel,46,2021,11,Nov,Q4,Moderate,Google Trends
2021-12-01,Chanel,56,2021,12,Dec,Q4,High,Google Trends
2022-01-01,Chanel,48,2022,1,Jan,Q1,Moderate,Google Trends
2022-02-01,Chanel,44,2022,2,Feb,Q1,Moderate,Google Trends
2022-03-01,Chanel,42,2022,3,Mar,Q1,Moderate,Google Trends
2022-04-01,Chanel,39,2022,4,Apr,Q2,Moderate,Google Trends
2022-05-01,Chanel,50,2022,5,May,Q2,High,Google Trends
2022-06-01,Chanel,40,2022,6,Jun,Q2,Moderate,Google Trends
2022-07-01,Chanel,39,2022,7,Jul,Q3,Moderate,Google Trends
2022-08-01,Chanel,40,2022,8,Aug,Q3,Moderate,Google Trends
2022-09-01,Chanel,39,2022,9,Sep,Q3,Moderate,Google Trends
2022-10-01,Chanel,39,2022,10,Oct,Q4,Moderate,Google Trends
2022-11-01,Chanel,43,2022,11,Nov,Q4,Moderate,Google Trends
2022-12-01,Chanel,52,2022,12,Dec,Q4,High,Google Trends
2023-01-01,Chanel,42,2023,1,Jan,Q1,Moderate,Google Trends
2023-02-01,Chanel,40,2023,2,Feb,Q1,Moderate,Google Trends
2023-03-01,Chanel,40,2023,3,Mar,Q1,Moderate,Google Trends
2023-04-01,Chanel,39,2023,4,Apr,Q2,Moderate,Google Trends
2023-05-01,Chanel,41,2023,5,May,Q2,Moderate,Google Trends
2023-06-01,Chanel,39,2023,6,Jun,Q2,Moderate,Google Trends
2023-07-01,Chanel,39,2023,7,Jul,Q3,Moderate,Google Trends
2023-08-01,Chanel,37,2023,8,Aug,Q3,Moderate,Google Trends
2023-09-01,Chanel,39,2023,9,Sep,Q3,Moderate,Google Trends
2023-10-01,Chanel,39,2023,10,Oct,Q4,Moderate,Google Trends
2023-11-01,Chanel,44,2023,11,Nov,Q4,Moderate,Google Trends
2023-12-01,Chanel,50,2023,12,Dec,Q4,High,Google Trends
2024-01-01,Chanel,42,2024,1,Jan,Q1,Moderate,Google Trends
2024-02-01,Chanel,41,2024,2,Feb,Q1,Moderate,Google Trends
2024-03-01,Chanel,41,2024,3,Mar,Q1,Moderate,Google Trends
2024-04-01,Chanel,38,2024,4,Apr,Q2,Moderate,Google Trends
2024-05-01,Chanel,38,2024,5,May,Q2,Moderate,Google Trends
2024-06-01,Chanel,39,2024,6,Jun,Q2,Moderate,Google Trends
2024-07-01,Chanel,39,2024,7,Jul,Q3,Moderate,Google Trends
2024-08-01,Chanel,37,2024,8,Aug,Q3,Moderate,Google Trends
2024-09-01,Chanel,36,2024,9,Sep,Q3,Moderate,Google Trends
2024-10-01,Chanel,39,2024,10,Oct,Q4,Moderate,Google Trends
2024-11-01,Chanel,47,2024,11,Nov,Q4,Moderate,Google Trends
2024-12-01,Chanel,54,2024,12,Dec,Q4,High,Google Trends
